,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,강동구,성내제2동(1174065000),,"18,948","18,948","1,090","1,489","3,713","4,948","3,158","3,394","5,094"
서울특별시,강동구,성내제3동(1174066000),,"24,206","24,206",810,"1,038","2,899","3,370","3,102","3,586","7,145"
서울특별시,강동구,길동(1174068500),,"21,603","21,603",841,"1,364","6,469","8,424","6,797","7,462","6,441"
서울특별시,강동구,둔촌제1동(1174069000),,"48,196","48,196","2,126","2,744","2,686","5,806","6,374","4,282","14,174"
서울특별시,강동구,둔촌제2동(1174070000),,"32,682","32,682","3,442","3,206","2,890","4,085","3,682","3,907","6,886"
부산광역시,-2600000000,,,"25,153","25,153","1,524","1,863","340,712","388,249","461,149","530,287","7,202"
부산광역시,중구,-2611000000,,"3,243,759","3,243,759","170,498","264,640","4,680","4,097","3,882","5,968","1,088,224"
부산광역시,중구,중앙동(2611051000),,"36,578","36,578",620,"1,510",850,805,325,346,"15,821"
부산광역시,중구,동광동(2611052000),,"3,079","3,079",28,47,176,175,239,361,678
부산광역시,중구,대청동(2611053000),,"2,286","2,286",39,80,723,561,615,885,"1,216"
부산광역시,중구,보수동(2611054500),,"5,486","5,486",90,245,"1,385","1,065","1,007","1,600","2,367"
부산광역시,중구,부평동(2611056000),,"9,821","9,821",193,433,353,334,436,685,"4,138"
부산광역시,중구,광복동(2611057000),,"3,979","3,979",47,162,47,65,96,143,"1,962"
부산광역시,중구,남포동(2611058000),,830,830,19,30,24,51,55,150,430
부산광역시,중구,영주제1동(2611059000),,758,758,4,17,642,579,484,716,457
부산광역시,중구,영주제2동(2611060000),,"4,230","4,230",82,176,480,462,625,"1,082","1,551"
부산광역시,서구,-2614000000,,"6,109","6,109",118,320,"10,810","10,089","12,779","16,600","3,022"
부산광역시,서구,동대신제1동(2614051000),,"102,096","102,096","4,152","7,022",504,535,655,824,"40,644"
부산광역시,서구,동대신제2동(2614052000),,"5,038","5,038",260,315,550,420,653,"1,117","1,945"
부산광역시,서구,동대신제3동(2614053000),,"6,249","6,249",134,373,971,658,824,"1,117","3,002"
부산광역시,서구,서대신제1동(2614054000),,"6,918","6,918",241,478,"1,461","1,756","2,325","2,232","2,629"
부산광역시,서구,서대신제3동(2614056000),,"14,515","14,515",974,"1,289",684,664,"1,013","1,277","4,478"
부산광역시,서구,서대신제4동(2614057000),,"7,209","7,209",345,746,663,589,998,"1,157","2,480"
부산광역시,서구,부민동(2614059000),,"6,893","6,893",335,772,"1,437",814,871,"1,056","2,379"
부산광역시,서구,아미동(2614061500),,"7,294","7,294",263,574,690,679,505,913,"2,279"
부산광역시,서구,초장동(2614063000),,"6,140","6,140",97,166,243,222,355,569,"3,090"
부산광역시,서구,충무동(2614064000),,"3,543","3,543",45,119,"1,057","1,017","1,082","1,533","1,990"
부산광역시,서구,남부민제1동(2614065000),,"9,312","9,312",310,493,299,310,431,667,"3,820"
부산광역시,서구,남부민제2동(2614066000),,"4,217","4,217",70,140,470,525,714,"1,253","2,300"
부산광역시,서구,암남동(2614068000),,"7,323","7,323",135,316,"1,781","1,900","2,353","2,885","3,910"
부산광역시,동구,-2617000000,,"17,445","17,445",943,"1,241","8,098","10,609","10,543","13,500","6,342"
부산광역시,동구,초량제1동(2617051000),,"83,894","83,894","3,495","4,507",672,626,561,817,"33,142"
부산광역시,동구,초량제2동(2617052000),,"4,834","4,834",81,239,421,396,546,838,"1,838"
부산광역시,동구,초량제3동(2617053000),,"4,935","4,935",75,203,"1,626","2,329","2,162","1,845","2,456"
부산광역시,동구,초량제6동(2617055000),,"12,723","12,723","1,004",933,347,371,506,832,"2,824"
부산광역시,동구,수정제1동(2617056000),,"4,915","4,915",75,275,398,378,493,665,"2,509"
부산광역시,동구,수정제2동(2617057000),,"3,898","3,898",115,299,749,945,979,"1,432","1,550"
부산광역시,동구,수정제4동(2617059000),,"8,716","8,716",280,442,230,218,280,554,"3,889"
부산광역시,동구,수정제5동(2617060000),,"3,237","3,237",47,113,329,296,448,744,"1,795"
부산광역시,동구,좌천동(2617064500),,"4,471","4,471",55,231,967,"1,221","1,265","1,767","2,368"
부산광역시,동구,범일제1동(2617065000),,"10,737","10,737",385,517,852,"1,010","1,043","1,683","4,615"
부산광역시,동구,범일제2동(2617066000),,"10,343","10,343",219,428,735,906,806,"1,091","5,108"
부산광역시,동구,범일제5동(2617068000),,"6,155","6,155",203,307,772,"1,913","1,454","1,232","2,107"
부산광역시,영도구,-2620000000,,"8,930","8,930",956,520,"8,813","8,916","12,122","16,892","2,083"
부산광역시,영도구,남항동(2620053000),,"101,774","101,774","3,568","6,342",787,845,"1,098","1,657","45,121"
부산광역시,영도구,영선제1동(2620054000),,"9,831","9,831",242,452,304,241,372,584,"4,750"
부산광역시,영도구,영선제2동(2620055000),,"3,553","3,553",104,208,533,580,738,"1,145","1,740"
부산광역시,영도구,신선동(2620058500),,"7,056","7,056",204,451,399,386,616,"1,117","3,405"
부산광역시,영도구,봉래제1동(2620059000),,"6,496","6,496",90,265,603,735,703,942,"3,623"
부산광역시,영도구,봉래제2동(2620060500),,"6,386","6,386",213,317,487,682,959,"1,165","2,873"
부산광역시,영도구,청학제1동(2620063000),,"6,948","6,948",396,472,349,432,635,860,"2,787"
부산광역시,영도구,청학제2동(2620064000),,"5,120","5,120",181,339,"1,276","1,378","1,972","2,694","2,324"
부산광역시,영도구,동삼제1동(2620065000),,"15,691","15,691",571,"1,125","2,667","2,548","3,492","4,636","6,675"
부산광역시,영도구,동삼제2동(2620066000),,"27,303","27,303","1,136","2,011",890,524,732,749,"10,813"
부산광역시,영도구,동삼제3동(2620067000),,"5,130","5,130",308,361,518,565,805,"1,343","1,566"
부산광역시,부산진구,-2623000000,,"8,260","8,260",123,341,"47,004","54,052","49,199","56,122","4,565"
부산광역시,부산진구,부전제1동(2623051000),,"365,388","365,388","18,519","24,382","3,450","2,834","1,497","1,795","116,110"
부산광역시,부산진구,부전제2동(2623052000),,"13,990","13,990",459,404,"2,688","2,671","1,665","1,563","3,551"
부산광역시,부산진구,연지동(2623054000),,"12,270","12,270",670,554,"2,072","3,023","3,933","4,057","2,459"
부산광역시,부산진구,초읍동(2623055000),,"25,410","25,410","1,824","2,243","1,618","2,306","2,796","3,561","8,258"
부산광역시,부산진구,양정제1동(2623056000),,"21,493","21,493","1,077","1,481","2,322","2,610","2,238","3,202","8,654"
부산광역시,부산진구,양정제2동(2623057000),,"18,688","18,688",653,"1,190","3,400","4,627","3,051","2,530","6,473"
부산광역시,부산진구,전포제1동(2623060000),,"20,360","20,360","1,641","1,126","4,196","4,312","2,764","2,587","3,985"
부산광역시,부산진구,전포제2동(2623061000),,"20,344","20,344","1,019","1,164","3,232","3,711","2,984","3,240","4,302"
부산광역시,부산진구,부암제1동(2623064000),,"22,854","22,854",975,"1,237","2,408","3,762","3,598","3,734","7,475"
부산광역시,부산진구,부암제3동(2623066000),,"23,841","23,841","1,600","1,871","2,200","3,213","3,644","3,976","6,868"
부산광역시,부산진구,당감제1동(2623067000),,"23,724","23,724","1,709","2,205","1,979","1,895","2,366","3,723","6,777"
부산광역시,부산진구,당감제2동(2623068000),,"20,220","20,220",584,"1,432","1,136","1,888","1,729","1,641","8,241"
부산광역시,부산진구,당감제4동(2623070000),,"11,589","11,589",776,820,833,953,"1,248","1,854","3,599"
부산광역시,부산진구,가야제1동(2623071000),,"9,821","9,821",305,722,"2,330","1,565","1,947","2,558","3,906"
부산광역시,부산진구,가야제2동(2623072000),,"15,844","15,844",394,"1,022","1,820","1,981","2,364","2,815","6,028"
부산광역시,부산진구,개금제1동(2623074000),,"17,752","17,752",983,"1,380","3,221","2,798","2,594","2,637","6,409"
부산광역시,부산진구,개금제2동(2623075000),,"18,246","18,246",960,"1,289","1,157",917,"1,096","1,628","4,747"
부산광역시,부산진구,개금제3동(2623076000),,"9,628","9,628",325,691,"2,423","2,673","3,225","4,450","3,814"
부산광역시,부산진구,범천제1동(2623077000),,"25,546","25,546","1,008","2,010","2,372","2,528","1,494","1,642","9,757"
부산광역시,부산진구,범천제2동(2623078000),,"12,186","12,186",372,465,"2,147","3,785","2,966","2,929","3,313"
부산광역시,동래구,-2626000000,,"21,582","21,582","1,185","1,076","25,959","32,312","42,499","44,569","7,494"
부산광역시,동래구,수민동(2626051000),,"273,654","273,654","17,170","26,387","2,720","3,609","4,359","4,855","84,758"
부산광역시,동래구,복산동(2626052000),,"30,053","30,053","1,723","2,642",609,662,828,"1,338","10,145"
부산광역시,동래구,명륜동(2626054500),,"7,956","7,956",188,461,"2,156","2,680","4,885","4,323","3,870"
부산광역시,동래구,온천제1동(2626055000),,"25,284","25,284","2,071","3,623","4,144","5,926","5,425","5,175","5,546"
부산광역시,동래구,온천제2동(2626056000),,"33,746","33,746","2,633","2,387","1,858","2,997","4,153","3,440","8,056"
부산광역시,동래구,온천제3동(2626057000),,"23,907","23,907","2,364","2,564","4,191","4,630","4,716","6,002","6,531"
부산광역시,동래구,사직제1동(2626058000),,"35,510","35,510","1,743","2,498","1,053","1,353","1,937","1,846","11,730"
부산광역시,동래구,사직제2동(2626059000),,"11,637","11,637",812,"1,262","2,345","2,126","4,439","4,445","3,374"
부산광역시,동래구,사직제3동(2626060000),,"24,367","24,367","1,718","3,719","1,382","1,572","3,085","2,513","5,575"
부산광역시,동래구,안락제1동(2626074000),,"16,592","16,592",983,"2,106","1,116","1,285","1,578","2,117","4,951"
부산광역시,동래구,안락제2동(2626075000),,"13,018","13,018",472,854,"2,284","2,703","3,634","4,379","5,596"
부산광역시,동래구,명장제1동(2626076100),,"25,463","25,463","1,311","2,417","1,006","1,342","1,839","2,038","8,735"
부산광역시,동래구,명장제2동(2626076200),,"12,965","12,965",645,"1,013","1,095","1,427","1,621","2,098","5,082"
부산광역시,남구,-2629000000,,"13,156","13,156",507,841,"30,435","26,662","34,992","41,498","5,567"
부산광역시,남구,대연제1동(2629051000),,"250,940","250,940","12,371","21,916","3,747","1,631","1,514","2,150","83,066"
부산광역시,남구,대연제3동(2629053000),,"15,022","15,022",229,848,"7,424","4,306","5,602","5,286","4,903"
부산광역시,남구,대연제4동(2629054000),,"36,086","36,086","2,268","3,681","1,018","1,934","2,095","1,982","7,519"
부산광역시,남구,대연제5동(2629055000),,"13,757","13,757","1,042","1,075","2,673","1,822","2,091","2,531","4,611"
부산광역시,남구,대연제6동(2629056000),,"16,101","16,101",595,"1,294","1,443","1,919","2,756","2,481","5,095"
부산광역시,남구,용호제1동(2629057000),,"15,682","15,682","1,367","1,904","3,847","3,586","6,175","7,836","3,812"
부산광역시,남구,용호제2동(2629058000),,"42,021","42,021","2,277","4,734","1,544","1,970","3,043","3,055","13,566"
부산광역시,남구,용호제3동(2629059000),,"19,103","19,103","1,231","1,911",936,862,"1,080","1,712","6,349"
부산광역시,남구,용호제4동(2629060000),,"10,031","10,031",233,610,666,702,"1,021","1,311","4,598"
부산광역시,남구,용당동(2629061000),,"7,493","7,493",252,518,828,651,913,"1,437","3,023"
부산광역시,남구,감만제1동(2629062000),,"7,530","7,530",301,644,667,773,987,"1,375","2,756"
부산광역시,남구,감만제2동(2629063000),,"7,554","7,554",256,575,465,438,678,"1,062","2,921"
부산광역시,남구,우암동(2629064500),,"6,099","6,099",116,347,886,921,"1,366","1,895","2,993"
부산광역시,남구,문현제1동(2629068000),,"11,671","11,671",335,754,"1,012",809,"1,301","1,959","5,514"
부산광역시,남구,문현제2동(2629069000),,"10,306","10,306",323,874,"1,046","1,436","1,069","1,129","4,028"
부산광역시,남구,문현제3동(2629070000),,"8,116","8,116",294,351,"1,459","1,938","2,328","2,812","2,791"
부산광역시,남구,문현제4동(2629071000),,"15,954","15,954",944,"1,334",774,964,973,"1,485","5,139"
부산광역시,북구,-2632000000,,"8,414","8,414",308,462,"25,303","31,414","33,961","45,754","3,448"
부산광역시,북구,구포제1동(2632051000),,"263,189","263,189","13,312","20,337","1,372","1,964","1,758","2,355","93,108"
부산광역시,북구,구포제2동(2632052000),,"14,630","14,630",680,670,"2,230","2,586","2,824","4,097","5,831"
부산광역시,북구,구포제3동(2632052100),,"22,616","22,616",783,"1,494","1,703","1,580","1,943","3,360","8,602"
부산광역시,북구,금곡동(2632053000),,"16,932","16,932",384,"1,076","2,942","3,164","3,736","6,080","6,886"
부산광역시,북구,화명제1동(2632054100),,"33,952","33,952","1,200","2,371","4,048","4,974","5,530","6,922","14,459"
부산광역시,북구,화명제2동(2632054200),,"38,768","38,768","2,867","4,082","1,721","2,134","2,017","2,997","10,345"
부산광역시,북구,화명제3동(2632054300),,"16,560","16,560",966,"1,322","3,136","3,093","4,046","5,411","5,403"
부산광역시,북구,덕천제1동(2632055000),,"27,812","27,812","1,681","3,248","1,294","2,226","1,602","2,121","7,197"
부산광역시,북구,덕천제2동(2632056000),,"13,828","13,828",698,592,"1,135","1,303","1,170","1,790","5,295"
부산광역시,북구,덕천제3동(2632056100),,"10,566","10,566",218,443,904,930,"1,113","1,576","4,507"
부산광역시,북구,만덕제1동(2632057100),,"9,361","9,361",202,529,"1,138","2,632","2,428","2,128","4,107"
부산광역시,북구,만덕제2동(2632057200),,"15,791","15,791","1,293","1,009","2,193","3,092","3,665","4,127","5,163"
부산광역시,북구,만덕제3동(2632057300),,"25,546","25,546","1,664","2,269","1,487","1,736","2,129","2,790","8,536"
부산광역시,해운대구,-2635000000,,"16,827","16,827",676,"1,232","35,825","41,181","55,680","65,949","6,777"
부산광역시,해운대구,우제1동(2635051000),,"372,763","372,763","20,255","34,986","2,430","3,108","3,603","4,073","118,887"
부산광역시,해운대구,우제2동(2635052000),,"23,755","23,755","1,282","1,900","2,682","3,298","4,731","5,301","7,359"
부산광역시,해운대구,우제3동(2635052500),,"29,629","29,629","2,203","3,175","2,196","2,758","4,875","4,675","8,239"
부산광역시,해운대구,중제1동(2635053000),,"27,948","27,948","2,244","3,338","2,856","3,355","4,415","4,937","7,862"
부산광역시,해운대구,중제2동(2635054000),,"27,238","27,238","1,758","2,590","1,218","1,863","2,458","2,622","7,327"
부산광역시,해운대구,좌제1동(2635055100),,"15,164","15,164",972,"1,230","2,123","2,078","2,507","3,189","4,801"
부산광역시,해운대구,좌제2동(2635055200),,"16,934","16,934",804,"1,785","3,733","4,253","4,215","5,269","4,448"
부산광역시,해운대구,좌제3동(2635055300),,"29,955","29,955","1,368","2,500","1,442","1,529","1,940","2,729","8,617"
부산광역시,해운대구,좌제4동(2635055400),,"14,877","14,877",742,"1,442","2,245","2,320","3,242","4,060","5,053"
부산광역시,해운대구,송정동(2635056000),,"21,601","21,601","1,267","2,570",704,992,"1,169","1,470","5,897"
부산광역시,해운대구,반여제1동(2635057000),,"9,016","9,016",263,494,"3,561","3,907","5,335","6,557","3,924"
부산광역시,해운대구,반여제2동(2635058000),,"35,105","35,105","2,282","3,798",819,"1,155","1,280","1,950","9,665"
부산광역시,해운대구,반여제3동(2635059000),,"10,947","10,947",284,479,572,582,723,"1,289","4,980"
부산광역시,해운대구,반여제4동(2635059500),,"7,156","7,156",99,275,"1,357","1,545","2,102","2,563","3,616"
부산광역시,해운대구,반송제1동(2635061000),,"14,265","14,265",759,"1,391",932,838,"1,128","2,032","4,548"
부산광역시,해운대구,반송제2동(2635062000),,"11,493","11,493",164,455,"1,420","1,438","2,129","3,414","5,944"
부산광역시,해운대구,재송제1동(2635065000),,"20,113","20,113",457,"1,023","3,450","3,845","6,928","5,985","10,232"
부산광역시,해운대구,재송제2동(2635066000),,"36,070","36,070","2,732","4,979","2,085","2,317","2,900","3,834","8,151"
부산광역시,사하구,-2638000000,,"21,497","21,497",575,"1,562","29,635","30,490","39,228","49,386","8,224"
부산광역시,사하구,괴정제1동(2638051000),,"286,773","286,773","12,533","22,799","1,547","1,455","2,100","2,768","102,702"
부산광역시,사하구,괴정제2동(2638052000),,"16,366","16,366",527,"1,227","1,303","1,491","2,004","2,362","6,742"
부산광역시,사하구,괴정제3동(2638053000),,"14,447","14,447",683,"1,198","1,079","1,028","1,320","1,857","5,406"
부산광역시,사하구,괴정제4동(2638054000),,"11,154","11,154",272,612,"1,218","1,623","2,321","2,270","4,986"
부산광역시,사하구,당리동(2638055000),,"14,470","14,470","1,006","1,384","2,177","2,239","3,130","3,949","4,648"
부산광역시,사하구,하단제1동(2638056100),,"23,181","23,181",789,"1,975","2,888","2,702","2,733","3,274","8,922"
부산광역시,사하구,하단제2동(2638056200),,"20,505","20,505",693,"1,444","5,188","3,187","3,022","3,901","6,771"
부산광역시,사하구,신평제1동(2638057100),,"25,143","25,143",879,"1,801","1,131","1,458","2,014","2,655","7,165"
부산광역시,사하구,신평제2동(2638057200),,"14,781","14,781",666,950,"1,633","2,240","2,376","2,913","5,907"
부산광역시,사하구,장림제1동(2638058000),,"16,649","16,649",933,"1,307","1,085","1,862","2,376","2,193","5,247"
부산광역시,사하구,장림제2동(2638059000),,"13,348","13,348","1,026","1,206","2,413","2,706","3,520","4,445","3,600"
부산광역시,사하구,다대제1동(2638060100),,"24,571","24,571",992,"2,147","3,135","3,009","4,917","6,617","8,348"
부산광역시,사하구,다대제2동(2638060200),,"34,611","34,611","1,524","3,346","2,243","2,060","3,015","4,654","12,063"
부산광역시,사하구,구평동(2638061000),,"24,601","24,601",960,"1,952","1,024","1,826","2,020","1,902","9,717"
부산광역시,사하구,감천제1동(2638062000),,"12,058","12,058","1,066",998,"1,293","1,298","1,899","2,777","3,222"
부산광역시,사하구,감천제2동(2638063000),,"16,014","16,014",457,"1,107",278,306,461,849,"7,183"
부산광역시,금정구,-2641000000,,"4,874","4,874",60,145,"25,860","20,744","25,526","33,878","2,775"
부산광역시,금정구,서제1동(2641051000),,"206,908","206,908","7,988","15,371",248,315,412,710,"77,541"
부산광역시,금정구,서제2동(2641052000),,"4,029","4,029",27,105,559,703,828,"1,300","2,212"
부산광역시,금정구,서제3동(2641053000),,"7,726","7,726",151,390,685,804,972,"1,657","3,795"
부산광역시,금정구,금사회동동(2641055500),,"9,640","9,640",167,389,432,567,700,"1,081","4,966"
부산광역시,금정구,부곡제1동(2641057000),,"6,689","6,689",124,263,504,538,804,"1,111","3,522"
부산광역시,금정구,부곡제2동(2641058000),,"7,004","7,004",166,327,"2,198","1,749","2,130","2,895","3,554"
부산광역시,금정구,부곡제3동(2641059000),,"16,508","16,508",622,"1,329","1,744","1,603","1,922","2,372","5,585"
부산광역시,금정구,부곡제4동(2641059100),,"14,460","14,460",645,"1,206","1,026","1,103","1,290","1,915","4,968"
부산광역시,금정구,장전제1동(2641060000),,"11,239","11,239",318,604,"6,322","1,841","1,789","2,023","4,983"
부산광역시,금정구,장전제2동(2641061000),,"17,741","17,741",517,"1,177","2,969","3,212","4,418","3,860","4,072"
부산광역시,금정구,선두구동(2641063500),,"26,256","26,256","2,023","2,682",115,137,158,332,"7,092"
부산광역시,금정구,청룡노포동(2641066500),,"1,937","1,937",26,65,770,753,900,"1,494","1,104"
부산광역시,금정구,남산동(2641067000),,"8,990","8,990",310,610,"3,372","2,391","2,590","4,519","4,153"
부산광역시,금정구,구서제1동(2641068000),,"25,338","25,338",553,"1,512","1,779","1,994","2,601","3,241","10,401"
부산광역시,금정구,구서제2동(2641069000),,"18,257","18,257",888,"1,766","3,075","2,992","3,899","5,234","5,988"
부산광역시,금정구,금성동(2641070000),,"30,213","30,213","1,437","2,847",62,42,113,134,"10,729"
부산광역시,강서구,-2644000000,,881,881,14,99,"10,616","23,713","31,033","18,585",417
부산광역시,강서구,대저1동(2644051000),,"149,613","149,613","16,526","17,656",310,447,496,803,"31,484"
부산광역시,강서구,대저2동(2644052000),,"5,432","5,432",95,194,608,738,687,799,"3,087"
부산광역시,강서구,강동동(2644053000),,"5,994","5,994",297,378,644,"3,908","2,796","1,316","2,487"
부산광역시,강서구,명지1동(2644053500),,"15,923","15,923","3,200","1,155","3,806","10,186","12,788","5,484","2,904"
부산광역시,강서구,명지2동(2644054500),,"54,004","54,004","7,378","7,078","2,323","3,120","6,928","4,314","7,284"
부산광역시,강서구,가락동(2644055000),,"29,605","29,605","3,004","5,323",79,133,156,302,"4,593"
부산광역시,강서구,녹산동(2644056000),,"2,013","2,013",16,41,"1,296","2,849","3,574","2,406","1,286"
부산광역시,강서구,가덕도동(2644058000),,"17,107","17,107","1,373","1,528",249,372,430,738,"4,081"
부산광역시,강서구,신호동(2644059000),,"4,166","4,166",86,122,"1,301","1,960","3,178","2,423","2,169"
부산광역시,연제구,-2647000000,,"15,369","15,369","1,077","1,837","21,541","28,228","31,079","33,791","3,593"
부산광역시,연제구,거제제1동(2647061000),,"211,590","211,590","12,375","17,113","2,839","2,678","4,383","4,965","67,463"
부산광역시,연제구,거제제2동(2647062000),,"27,600","27,600","1,657","3,221","2,176","3,329","4,982","3,943","7,857"
부산광역시,연제구,거제제3동(2647063000),,"25,188","25,188","2,763","3,348",901,883,949,"1,510","4,647"
부산광역시,연제구,거제제4동(2647064000),,"8,907","8,907",257,482,888,838,"1,243","1,630","3,925"
부산광역시,연제구,연산제1동(2647065000),,"9,305","9,305",370,857,"1,316","1,892","2,221","2,391","3,479"
부산광역시,연제구,연산제2동(2647066000),,"15,114","15,114",829,"1,201","2,453","4,499","3,189","3,058","5,264"
부산광역시,연제구,연산제3동(2647067000),,"22,434","22,434","1,728","1,352",781,"1,452","1,454","1,515","6,155"
부산광역시,연제구,연산제4동(2647068000),,"10,034","10,034",706,499,"2,009","2,284","2,261","2,601","3,627"
부산광역시,연제구,연산제5동(2647069000),,"17,235","17,235",587,"1,043","3,023","3,465","2,153","2,370","6,450"
부산광역시,연제구,연산제6동(2647070000),,"16,599","16,599",509,620,"1,263","1,894","1,974","2,252","4,459"
부산광역시,연제구,연산제8동(2647072000),,"15,045","15,045",723,913,"1,014","1,523","1,909","2,054","6,026"
부산광역시,연제구,연산제9동(2647073000),,"12,801","12,801",826,"1,061","2,878","3,491","4,361","5,502","4,414"
부산광역시,수영구,-2650000000,,"31,328","31,328","1,420","2,516","19,834","22,851","22,979","26,120","11,160"
부산광역시,수영구,남천제1동(2650066000),,"169,299","169,299","7,447","11,320","1,843","2,219","2,459","2,723","58,748"
부산광역시,수영구,남천제2동(2650067000),,"16,665","16,665",978,"1,445","1,238","1,377","1,976","2,376","4,998"
부산광역시,수영구,수영동(2650073000),,"13,332","13,332",782,"1,261","1,396","1,569","1,499","2,000","4,322"
부산광역시,수영구,망미제1동(2650074000),,"13,458","13,458",402,556,"2,062","2,628","3,324","3,814","6,036"
부산광역시,수영구,망미제2동(2650075000),,"25,194","25,194","1,053","1,910",789,"1,035","1,256","1,610","10,403"
부산광역시,수영구,광안제1동(2650076000),,"9,419","9,419",350,637,"4,383","4,128","3,073","3,313","3,742"
부산광역시,수영구,광안제2동(2650077000),,"24,498","24,498",704,"1,341","2,447","2,828","2,512","2,688","7,556"
부산광역시,수영구,광안제3동(2650078000),,"17,948","17,948",719,"1,206","1,658","1,494","1,020","1,157","5,548"
부산광역시,수영구,광안제4동(2650079000),,"8,890","8,890",137,341,"1,393","1,787","1,929","2,040","3,083"
부산광역시,수영구,민락동(2650080000),,"13,009","13,009",711,870,"2,625","3,786","3,931","4,399","4,279"
부산광역시,사상구,-2653000000,,"26,886","26,886","1,611","1,753","21,522","22,727","24,179","33,702","8,781"
부산광역시,사상구,삼락동(2653058000),,"194,541","194,541","7,527","13,187",345,423,462,908,"71,697"
부산광역시,사상구,모라제1동(2653059100),,"4,847","4,847",129,228,"2,379","2,799","3,073","4,364","2,352"
부산광역시,사상구,모라제3동(2653059300),,"25,281","25,281",909,"1,749",435,528,784,"1,490","10,008"
부산광역시,사상구,덕포제1동(2653060000),,"8,667","8,667",111,274,"1,030","1,652","1,561","1,863","5,045"
부산광역시,사상구,덕포제2동(2653061000),,"11,506","11,506",784,812,"1,120","1,193","1,380","2,059","3,804"
부산광역시,사상구,괘법동(2653062000),,"11,603","11,603",417,802,"4,314","4,146","2,706","3,650","4,632"
부산광역시,사상구,감전동(2653064500),,"24,148","24,148",814,953,972,"1,268","1,261","2,040","7,565"
부산광역시,사상구,주례제1동(2653065000),,"11,397","11,397",257,469,"1,507","2,171","2,123","2,780","5,130"
부산광역시,사상구,주례제2동(2653066000),,"16,066","16,066",974,"1,132","3,527","2,486","2,640","3,287","5,379"
부산광역시,사상구,주례제3동(2653066100),,"20,784","20,784",690,"1,632","1,311","1,225","1,386","2,011","6,522"
부산광역시,사상구,학장동(2653067000),,"11,652","11,652",392,854,"2,289","2,359","3,504","4,694","4,473"
부산광역시,사상구,엄궁동(2653068000),,"25,336","25,336",930,"1,963","2,293","2,477","3,299","4,556","9,597"
부산광역시,기장군,-2671000000,,"23,254","23,254","1,120","2,319","14,777","20,164","31,468","27,973","7,190"
부산광역시,기장군,기장읍(2671025000),,"174,759","174,759","12,640","19,805","4,860","5,654","6,865","9,173","47,932"
부산광역시,기장군,장안읍(2671025300),,"51,339","51,339","2,329","3,731",717,976,954,"1,432","18,727"
부산광역시,기장군,정관읍(2671025600),,"8,472","8,472",344,384,"6,292","8,149","17,523","11,951","3,665"
부산광역시,기장군,일광읍(2671025900),,"77,572","77,572","6,653","12,481","2,514","4,877","5,417","4,183","14,523"
부산광역시,기장군,철마면(2671033000),,"30,127","30,127","3,151","2,789",394,508,709,"1,234","7,196"
대구광역시,-2700000000,,,"7,249","7,249",163,420,"254,839","285,018","336,728","412,978","3,821"
대구광역시,중구,-2711000000,,"2,354,398","2,354,398","134,741","212,996","13,483","18,212","14,919","14,196","717,098"
대구광역시,중구,동인동(2711051700),,"100,946","100,946","8,196","7,483","1,698","2,254","1,434","1,565","24,457"
대구광역시,중구,삼덕동(2711054500),,"10,953","10,953",597,638,"1,754","1,433","1,041",898,"2,767"
대구광역시,중구,성내1동(2711056500),,"7,366","7,366",412,541,"1,567","1,003",503,541,"1,287"
대구광역시,중구,성내2동(2711057500),,"5,075","5,075",102,194,"1,718","1,654","1,203","1,126","1,165"
대구광역시,중구,성내3동(2711058500),,"8,702","8,702",664,523,"1,118","3,439","2,463","1,380","1,814"
대구광역시,중구,대신동(2711059500),,"13,547","13,547","2,064","1,023",605,"1,161","1,105","1,129","2,060"
대구광역시,중구,남산1동(2711064000),,"7,353","7,353",585,546,808,806,712,749,"2,222"
대구광역시,중구,남산2동(2711065000),,"5,097","5,097",305,365,797,"1,372","1,097",965,"1,352"
대구광역시,중구,남산3동(2711066000),,"7,138","7,138",739,520,476,655,905,975,"1,648"
대구광역시,중구,남산4동(2711067000),,"5,917","5,917",295,506,"1,456","2,416","2,466","2,530","2,105"
대구광역시,중구,대봉1동(2711068000),,"16,178","16,178","1,409","1,407",877,979,"1,118","1,298","4,494"
대구광역시,중구,대봉2동(2711069000),,"7,718","7,718",523,738,609,"1,040",872,"1,040","2,185"
대구광역시,동구,-2714000000,,"5,902","5,902",501,482,"33,972","44,225","46,881","56,190","1,358"
대구광역시,동구,신암1동(2714051000),,"339,436","339,436","19,317","25,908","1,076","1,592","1,439","1,659","112,943"
대구광역시,동구,신암2동(2714052000),,"10,909","10,909",871,602,884,"1,707","1,770","1,814","3,670"
대구광역시,동구,신암3동(2714053000),,"11,545","11,545",958,972,992,"2,266","1,599","1,575","3,440"
대구광역시,동구,신암4동(2714054000),,"11,263","11,263","1,151",739,"2,276","3,527","2,198","2,969","2,941"
대구광역시,동구,신암5동(2714054100),,"18,327","18,327","1,144",890,655,"1,019",887,"1,171","5,323"
대구광역시,동구,신천1.2동(2714055500),,"7,390","7,390",401,398,"1,117","1,172","1,313","1,897","2,859"
대구광역시,동구,신천3동(2714057000),,"11,225","11,225",298,661,"1,517","2,330","2,163","2,344","4,767"
