,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,성동구,행당제1동(1120056000),,"15,385","15,385",941,"1,055","2,202","2,847","2,285","2,374","3,681"
서울특별시,성동구,행당제2동(1120057000),,"22,391","22,391","1,495","1,793","2,357","3,509","3,375","3,864","5,998"
서울특별시,성동구,응봉동(1120058000),,"14,432","14,432",887,"1,378","1,506","2,083","2,387","2,512","3,679"
서울특별시,성동구,금호1가동(1120059000),,"14,302","14,302",958,"1,006","1,340","2,274","2,430","2,210","4,084"
서울특별시,성동구,금호2.3가동(1120061500),,"20,612","20,612","1,379","1,140","2,082","3,757","3,274","3,261","5,719"
서울특별시,성동구,금호4가동(1120062000),,"13,885","13,885","1,055",915,"1,161","2,407","2,440","2,104","3,803"
서울특별시,성동구,옥수동(1120064500),,"25,083","25,083","2,150","1,633","2,197","4,555","4,382","3,663","6,503"
서울특별시,성동구,성수1가제1동(1120065000),,"14,965","14,965",748,803,"1,942","2,894","1,935","2,583","4,060"
서울특별시,성동구,성수1가제2동(1120066000),,"13,232","13,232",705,740,"1,787","2,710","1,939","2,046","3,305"
서울특별시,성동구,성수2가제1동(1120067000),,"13,700","13,700",481,647,"1,575","2,295","1,756","2,263","4,683"
서울특별시,성동구,성수2가제3동(1120069000),,"9,529","9,529",353,468,"1,413","1,838","1,270","1,457","2,730"
서울특별시,성동구,송정동(1120072000),,"9,163","9,163",293,431,"1,249","1,576","1,234","1,507","2,873"
서울특별시,성동구,용답동(1120079000),,"13,009","13,009",322,519,"2,687","2,844","1,398","1,890","3,349"
서울특별시,광진구,-1121500000,,"331,475","331,475","13,562","22,853","55,099","56,813","46,073","51,201","85,874"
서울특별시,광진구,화양동(1121571000),,"22,820","22,820",267,651,"9,844","4,930","1,926","1,905","3,297"
서울특별시,광진구,군자동(1121573000),,"18,466","18,466",515,914,"3,990","3,408","2,360","2,468","4,811"
서울특별시,광진구,중곡제1동(1121574000),,"14,886","14,886",442,636,"2,488","3,145","1,877","2,196","4,102"
서울특별시,광진구,중곡제2동(1121575000),,"19,754","19,754",637,"1,148","2,967","3,613","2,575","3,168","5,646"
서울특별시,광진구,중곡제3동(1121576000),,"15,193","15,193",496,722,"2,090","2,767","1,894","2,422","4,802"
서울특별시,광진구,중곡제4동(1121577000),,"26,745","26,745",821,"1,525","3,381","4,063","3,287","4,741","8,927"
서울특별시,광진구,능동(1121578000),,"10,832","10,832",360,490,"2,064","2,451","1,554","1,419","2,494"
서울특별시,광진구,광장동(1121581000),,"33,035","33,035","2,331","5,047","3,543","3,335","6,456","5,843","6,480"
서울특별시,광진구,자양제1동(1121582000),,"21,538","21,538",591,"1,280","3,678","3,965","2,948","3,316","5,760"
서울특별시,광진구,자양제2동(1121583000),,"26,470","26,470","1,548","1,840","3,416","4,920","3,859","4,069","6,818"
서울특별시,광진구,자양제3동(1121584000),,"26,673","26,673","1,728","2,290","3,277","3,837","4,096","4,336","7,109"
서울특별시,광진구,자양제4동(1121584700),,"19,827","19,827",650,826,"3,093","3,769","2,413","3,034","6,042"
서울특별시,광진구,구의제1동(1121585000),,"22,865","22,865",687,"1,200","4,524","4,590","3,068","3,442","5,354"
서울특별시,광진구,구의제2동(1121586000),,"24,871","24,871","1,075","1,972","3,045","3,528","3,682","4,340","7,229"
서울특별시,광진구,구의제3동(1121587000),,"27,500","27,500","1,414","2,312","3,699","4,492","4,078","4,502","7,003"
서울특별시,동대문구,-1123000000,,"344,207","344,207","17,284","22,589","55,118","53,051","47,466","52,110","96,589"
서울특별시,동대문구,신설동(1123051500),,,,,,"3,107","3,479","2,300","2,252",
서울특별시,동대문구,용두동(1123053300),,"16,378","16,378",794,830,"3,721","3,905","3,144","3,487","3,616"
서울특별시,동대문구,제기동(1123054500),,"22,574","22,574",950,"1,063","4,282","3,160","2,399","3,313","6,304"
서울특별시,동대문구,전농제1동(1123056000),,"22,502","22,502",699,"1,069","4,669","4,775","4,584","5,340","7,580"
서울특별시,동대문구,전농제2동(1123057000),,"32,363","32,363","1,776","2,125","1,825","2,171","2,387","3,019","9,094"
서울특별시,동대문구,답십리제1동(1123060000),,"17,376","17,376",871,"1,416","3,572","4,908","4,543","3,880","5,687"
